"","PlayerName","pos","points","value"
"141","Adrian Peterson","rb",201.42,60.6219276128874
"142","Todd Gurley","rb",198.005,58.4376344969939
"459","Antonio Brown","wr",146.74,56.6115270750683
"143","Jamaal Charles","rb",190.29,53.5029869452756
"461","Odell Beckham Jr.","wr",138.855,51.5681445805383
"37","Cam Newton","qb",330.632,50.8031622769926
"144","David Johnson","rb",183.78,49.3390782528988
"145","Lamar Miller","rb",181.915,48.1461919685236
"38","Aaron Rodgers","qb",325.986,47.8315002516804
"460","Julio Jones","wr",132.535,47.5257631771864
"462","DeAndre Hopkins","wr",128.56,44.983284367325
"147","Ezekiel Elliott","rb",172.825,42.332070614652
"39","Russell Wilson","qb",317.156,42.1836793985796
"146","Le'Veon Bell","rb",170.18,40.6402828279643
"463","Dez Bryant","wr",120.155,39.6073008712534
"464","A.J. Green","wr",116.775,37.4453943612329
"150","Eddie Lacy","rb",164.77,37.1799531773103
"329","Rob Gronkowski","te",114.95,36.8601445219818
"149","LeSean McCoy","rb",164.065,36.7290229732971
"465","Jordy Nelson","wr",114.615,36.0638209702139
"148","Devonta Freeman","rb",162.295,35.5969003334343
"152","Doug Martin","rb",161.83,35.2994782839788
"151","Mark Ingram","rb",160.26,34.2952791062474
"153","Thomas Rawls","rb",158.4,33.1055909084255
"467","Allen Robinson","wr",109.28,32.6514626178591
"466","Alshon Jeffery","wr",108.915,32.4180022994693
"40","Andrew Luck","qb",301.58,32.2210001677869
"470","Brandon Marshall","wr",105.195,30.0386259038254
"471","Sammy Watkins","wr",104.38,29.51733779564
"468","Mike Evans","wr",103.93,29.2295100058444
"469","T.Y. Hilton","wr",103.875,29.1943310537583
"473","Brandin Cooks","wr",103.055,28.6698448590196
"154","C.J. Anderson","rb",150.68,28.1677452701539
"475","Randall Cobb","wr",100.625,27.1155747941232
"41","Drew Brees","qb",293.022,26.7471552231848
"474","Demaryius Thomas","wr",98.515,25.765982268637
"472","Keenan Allen","wr",98.33,25.6476530661655
"157","Carlos Hyde","rb",145.47,24.8353390816312
"476","Amari Cooper","wr",97.015,24.8065563026516
"158","Jonathan Stewart","rb",144.01,23.901497808072
"156","Latavius Murray","rb",143.575,23.6232642779362
"479","Doug Baldwin","wr",95.07,23.5625006334238
"480","Kelvin Benjamin","wr",94.98,23.5049350754647
"478","Eric Decker","wr",94.74,23.351426920907
"477","Jeremy Maclin","wr",94.075,22.9260814093202
"161","Jeremy Hill","rb",139.83,21.227897449526
"483","Michael Floyd","wr",90.74,20.7929576782793
"155","Matt Forte","rb",138.575,20.4251777246515
"159","DeMarco Murray","rb",138.03,20.0765862903435
"484","Julian Edelman","wr",89.285,19.8623144912734
"482","Jarvis Landry","wr",88.405,19.2994512578953
"42","Ben Roethlisberger","qb",281.088,19.1139622378048
"485","Larry Fitzgerald","wr",87.635,18.8069459286894
"330","Greg Olsen","te",86.065,18.3847985036558
"481","Golden Tate","wr",86.89,18.33043103225
"486","Jordan Matthews","wr",86.43,18.0362070693478
"331","Jordan Reed","te",84.965,17.6812194619332
"160","Matt Jones","rb",133.11,16.9296691219113
"487","DeSean Jackson","wr",84.675,16.9136786891449
"1","Stephen Gostkowski","k",154,16.0310068004383
"489","Donte Moncrief","wr",82.625,15.6024632022981
"490","John Brown","wr",81.965,15.1803157772645
"488","Emmanuel Sanders","wr",81.545,14.9116765067886
"163","Ryan Mathews","rb",129.865,14.8541109488295
